Requests,AvgResponseTime
1,234.56272056040552
2,199.2196386306404
3,232.583005365041
4,208.7075466992431
5,213.16676903395978
6,222.1250452424404
7,216.63023271360416
8,221.62179746805248
9,232.79969688807765
10,209.74250379859686
11,216.0875744325344
12,223.61880458521304
13,222.2098787866083
14,221.63744387071546
15,226.09145258276814
16,220.48836173057197
17,218.8383335973762
18,212.8504255624495
19,219.27557105957
20,217.42935116000143
21,211.76753373897893
22,225.75573344654987
23,219.73033290998282
24,231.50453006297084
25,225.8799551027101
26,216.31166449953582
27,228.1748777378139
28,225.96830259415106
29,230.00215853704532
30,228.901405520949
31,228.20638099118437
32,224.9332409079296
33,237.79559156668213
34,227.84997763599821
35,230.87669177801627
36,226.7114357736882
37,225.39138295724
38,231.08649622877448
39,230.86175791778996
40,235.73092041851
41,229.48768059994978
42,234.48703000861656
43,232.05945748672664
44,237.04331839449648
45,242.27433927897223
46,247.89144203783982
47,251.49830985711867
48,259.09773618823505
49,269.6836026152029
50,275.3238497073876
51,302.1092926912926
52,304.0964512678883
53,308.26599861919266
54,339.8733857812548
55,354.14615054624863
56,358.4971333279815
57,387.52084757110447
58,395.7922978778697
59,426.31117083976227
60,433.75773331633235
61,461.4044390658868
62,466.3931642328437
63,469.72012839974184
64,531.7592427551613
65,538.7916640645291
66,548.3087583580426
67,600.9808642607308
68,637.8133221533753
69,611.7282704702791
70,681.7145517083524
71,696.9257459558348
72,673.5879367394325
73,692.7637314862676
74,771.6084993894627
75,777.3913218618206
76,801.78274692344
77,797.1950350802255
78,845.8422370961044
79,815.8647144374055
80,922.1493806876088
